OpenJDK 64-Bit Server VM (25.412-b1) for windows-amd64 JRE (1.8.0_412-b1), built on Apr 23 2024 12:00:37 by "Administrator" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16485540k(8761460k free), swap 28358524k(12358588k free)
CommandLine flags: -XX:ActiveProcessorCount=8 -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
1.325: [GC (Metadata GC Threshold) [PSYoungGen: 398357K->18048K(2446848K)] 398357K->18128K(8039424K), 0.0105412 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
1.335: [Full GC (Metadata GC Threshold) [PSYoungGen: 18048K->0K(2446848K)] [ParOldGen: 80K->17123K(5592576K)] 18128K->17123K(8039424K), [Metaspace: 20628K->20628K(1067008K)], 0.0208564 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2.019: [GC (Metadata GC Threshold) [PSYoungGen: 461679K->44356K(2446848K)] 478803K->61495K(8039424K), 0.0282983 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2.047: [Full GC (Metadata GC Threshold) [PSYoungGen: 44356K->0K(2446848K)] [ParOldGen: 17139K->53142K(5592576K)] 61495K->53142K(8039424K), [Metaspace: 33284K->33157K(1081344K)], 0.0905101 secs] [Times: user=0.52 sys=0.02, real=0.09 secs] 
2.808: [GC (Allocation Failure) [PSYoungGen: 2097664K->35490K(2446848K)] 2150806K->88640K(8039424K), 0.0323182 secs] [Times: user=0.28 sys=0.00, real=0.03 secs] 
3.372: [GC (GCLocker Initiated GC) [PSYoungGen: 2133154K->31706K(2446848K)] 2186307K->84867K(8039424K), 0.0209889 secs] [Times: user=0.28 sys=0.00, real=0.02 secs] 
3.786: [GC (Allocation Failure) [PSYoungGen: 2129370K->31944K(2446848K)] 2182533K->85115K(8039424K), 0.0143326 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
4.186: [GC (Allocation Failure) [PSYoungGen: 2129608K->32224K(2755072K)] 2182779K->85403K(8347648K), 0.0216367 secs] [Times: user=0.23 sys=0.05, real=0.02 secs] 
4.740: [GC (Allocation Failure) [PSYoungGen: 2744288K->33984K(2753024K)] 2797467K->87171K(8345600K), 0.0227117 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
7.507: [GC (Allocation Failure) [PSYoungGen: 2746048K->40929K(2718208K)] 2799235K->130734K(8310784K), 0.0331903 secs] [Times: user=0.14 sys=0.00, real=0.03 secs] 
8.718: [GC (Metadata GC Threshold) [PSYoungGen: 370089K->52452K(2729984K)] 459894K->142264K(8322560K), 0.0277362 secs] [Times: user=0.30 sys=0.00, real=0.03 secs] 
8.746: [Full GC (Metadata GC Threshold) [PSYoungGen: 52452K->0K(2729984K)] [ParOldGen: 89812K->104927K(5592576K)] 142264K->104927K(8322560K), [Metaspace: 55349K->55349K(1099776K)], 0.2931961 secs] [Times: user=1.50 sys=0.00, real=0.29 secs] 
26.008: [GC (Allocation Failure) [PSYoungGen: 2677248K->62961K(2630656K)] 2782175K->288235K(8223232K), 0.0538689 secs] [Times: user=0.33 sys=0.05, real=0.05 secs] 
40.405: [GC (Allocation Failure) [PSYoungGen: 2630641K->114161K(2681856K)] 2855915K->396533K(8274432K), 0.0544165 secs] [Times: user=0.47 sys=0.03, real=0.06 secs] 
55.529: [GC (Allocation Failure) [PSYoungGen: 2681841K->114167K(2503680K)] 2964213K->511575K(8096256K), 0.0613576 secs] [Times: user=0.45 sys=0.05, real=0.06 secs] 
68.855: [GC (Allocation Failure) [PSYoungGen: 2503671K->203257K(2592768K)] 2901079K->611418K(8185344K), 0.0578646 secs] [Times: user=0.42 sys=0.00, real=0.06 secs] 
84.095: [GC (Allocation Failure) [PSYoungGen: 2592761K->203257K(2399232K)] 3000922K->705045K(7991808K), 0.0753983 secs] [Times: user=0.47 sys=0.03, real=0.08 secs] 
97.691: [GC (Allocation Failure) [PSYoungGen: 2399225K->237384K(2433536K)] 2901013K->802173K(8026112K), 0.0844731 secs] [Times: user=0.58 sys=0.05, real=0.08 secs] 
111.525: [GC (Allocation Failure) [PSYoungGen: 2433352K->320152K(2366464K)] 2998141K->884949K(7959040K), 0.0745225 secs] [Times: user=0.63 sys=0.00, real=0.07 secs] 
125.760: [GC (Allocation Failure) [PSYoungGen: 2359448K->378360K(2417664K)] 2924245K->969971K(8010240K), 0.0994899 secs] [Times: user=0.75 sys=0.00, real=0.10 secs] 
138.659: [GC (Allocation Failure) [PSYoungGen: 2417656K->378355K(2119680K)] 3009267K->1046331K(7712256K), 0.1066564 secs] [Times: user=0.66 sys=0.09, real=0.11 secs] 
150.676: [GC (Allocation Failure) [PSYoungGen: 2119667K->374482K(2116096K)] 2787643K->1118638K(7708672K), 0.1104804 secs] [Times: user=0.86 sys=0.01, real=0.11 secs] 
162.561: [GC (GCLocker Initiated GC) [PSYoungGen: 2115794K->400275K(2170368K)] 2859952K->1144441K(7762944K), 0.1208995 secs] [Times: user=0.83 sys=0.00, real=0.12 secs] 
173.733: [GC (Allocation Failure) [PSYoungGen: 2011539K->423554K(2035200K)] 2755707K->1167722K(7627776K), 0.1036403 secs] [Times: user=0.86 sys=0.00, real=0.10 secs] 
