OpenJDK 64-Bit Server VM (25.412-b1) for windows-amd64 JRE (1.8.0_412-b1), built on Apr 23 2024 12:00:37 by "Administrator" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16485540k(5646788k free), swap 27297060k(11766592k free)
CommandLine flags: -XX:ActiveProcessorCount=8 -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
11.923: [Full GC (Metadata GC Threshold) 11.923: [Tenured: 0K->10531K(5592448K), 0.0260043 secs] 1193789K->10531K(8108992K), [Metaspace: 20645K->20645K(1069056K)], 0.0262533 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
12.678: [Full GC (Metadata GC Threshold) 12.681: [Tenured: 10531K->48200K(5592448K), 0.1151094 secs] 361597K->48200K(8108992K), [Metaspace: 33572K->33530K(1081344K)], 0.1188630 secs] [Times: user=0.11 sys=0.02, real=0.12 secs] 
13.838: [GC (Allocation Failure) 13.838: [DefNew: 2236928K->49403K(2516544K), 0.1884203 secs] 2285128K->97604K(8108992K), 0.1885123 secs] [Times: user=0.38 sys=0.01, real=0.19 secs] 
14.486: [GC (Allocation Failure) 14.486: [DefNew: 2286331K->44009K(2516544K), 0.0637031 secs] 2334532K->92210K(8108992K), 0.0637935 secs] [Times: user=0.05 sys=0.02, real=0.06 secs] 
14.994: [GC (Allocation Failure) 14.994: [DefNew: 2280937K->43325K(2516544K), 0.0587689 secs] 2329138K->91526K(8108992K), 0.0588464 secs] [Times: user=0.11 sys=0.00, real=0.06 secs] 
15.509: [GC (Allocation Failure) 15.509: [DefNew: 2280253K->44069K(2516544K), 0.0612685 secs] 2328454K->92270K(8108992K), 0.0613598 secs] [Times: user=0.09 sys=0.00, real=0.06 secs] 
16.037: [GC (Allocation Failure) 16.037: [DefNew: 2280997K->48065K(2516544K), 0.0861753 secs] 2329198K->96265K(8108992K), 0.0862864 secs] [Times: user=0.25 sys=0.02, real=0.09 secs] 
17.132: [Full GC (Metadata GC Threshold) 17.132: [Tenured: 48200K->130156K(5592448K), 0.3978028 secs] 1098261K->130156K(8108992K), [Metaspace: 55462K->55381K(1099776K)], 0.3979317 secs] [Times: user=0.39 sys=0.02, real=0.40 secs] 
30.577: [GC (Allocation Failure) 30.577: [DefNew: 2236928K->138198K(2516544K), 0.1096163 secs] 2367084K->268354K(8108992K), 0.1096848 secs] [Times: user=0.09 sys=0.02, real=0.11 secs] 
43.573: [GC (Allocation Failure) 43.573: [DefNew: 2375126K->230932K(2516544K), 0.1548213 secs] 2505282K->361089K(8108992K), 0.1548893 secs] [Times: user=0.13 sys=0.03, real=0.15 secs] 
56.865: [GC (Allocation Failure) 56.865: [DefNew: 2467860K->209402K(2516544K), 0.1974645 secs] 2598017K->459964K(8108992K), 0.1975197 secs] [Times: user=0.17 sys=0.03, real=0.20 secs] 
70.761: [GC (Allocation Failure) 70.761: [DefNew: 2446330K->212706K(2516544K), 0.1589432 secs] 2696892K->555321K(8108992K), 0.1589860 secs] [Times: user=0.14 sys=0.03, real=0.16 secs] 
84.132: [GC (Allocation Failure) 84.132: [DefNew: 2449634K->198195K(2516544K), 0.1654378 secs] 2792249K->642002K(8108992K), 0.1655163 secs] [Times: user=0.14 sys=0.03, real=0.17 secs] 
97.642: [GC (Allocation Failure) 97.642: [DefNew: 2435123K->191761K(2516544K), 0.1585402 secs] 2878930K->729841K(8108992K), 0.1585985 secs] [Times: user=0.14 sys=0.02, real=0.16 secs] 
111.312: [GC (Allocation Failure) 111.312: [DefNew: 2428689K->194995K(2516544K), 0.1536856 secs] 2966769K->819145K(8108992K), 0.1537527 secs] [Times: user=0.11 sys=0.03, real=0.15 secs] 
124.515: [GC (Allocation Failure) 124.515: [DefNew: 2431923K->190015K(2516544K), 0.1567790 secs] 3056073K->901873K(8108992K), 0.1568357 secs] [Times: user=0.16 sys=0.00, real=0.16 secs] 
