OpenJDK 64-Bit Server VM (25.345-b01) for windows-amd64 JRE (1.8.0_345-b01), built on Aug  3 2022 09:57:30 by "build" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16485540k(8697548k free), swap 28358524k(12683584k free)
CommandLine flags: -XX:ActiveProcessorCount=8 -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
1.234: [GC (Metadata GC Threshold) [PSYoungGen: 398357K->17650K(2446848K)] 398357K->17730K(8039424K), 0.0118380 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.246: [Full GC (Metadata GC Threshold) [PSYoungGen: 17650K->0K(2446848K)] [ParOldGen: 80K->16644K(5592576K)] 17730K->16644K(8039424K), [Metaspace: 20769K->20769K(1069056K)], 0.0388846 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
2.027: [GC (Metadata GC Threshold) [PSYoungGen: 482656K->47302K(2446848K)] 499300K->63962K(8039424K), 0.0344972 secs] [Times: user=0.27 sys=0.02, real=0.03 secs] 
2.061: [Full GC (Metadata GC Threshold) [PSYoungGen: 47302K->0K(2446848K)] [ParOldGen: 16660K->55746K(5592576K)] 63962K->55746K(8039424K), [Metaspace: 33303K->33167K(1081344K)], 0.1133655 secs] [Times: user=0.73 sys=0.01, real=0.11 secs] 
2.871: [GC (Allocation Failure) [PSYoungGen: 2097664K->32515K(2446848K)] 2153410K->88270K(8039424K), 0.0419193 secs] [Times: user=0.33 sys=0.02, real=0.04 secs] 
3.644: [GC (Allocation Failure) [PSYoungGen: 2130179K->30458K(2446848K)] 2185934K->86221K(8039424K), 0.0148137 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
4.105: [GC (Allocation Failure) [PSYoungGen: 2128122K->28864K(2446848K)] 2183885K->84634K(8039424K), 0.0228885 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
4.569: [GC (Allocation Failure) [PSYoungGen: 2126528K->29536K(2754560K)] 2182298K->85314K(8347136K), 0.0187053 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
5.192: [GC (Allocation Failure) [PSYoungGen: 2741088K->34288K(2753024K)] 2796866K->90074K(8345600K), 0.0225757 secs] [Times: user=0.27 sys=0.05, real=0.02 secs] 
8.988: [GC (Metadata GC Threshold) [PSYoungGen: 1538182K->41962K(2707968K)] 1593968K->142713K(8300544K), 0.0567725 secs] [Times: user=0.38 sys=0.03, real=0.06 secs] 
9.044: [Full GC (Metadata GC Threshold) [PSYoungGen: 41962K->0K(2707968K)] [ParOldGen: 100751K->132690K(5592576K)] 142713K->132690K(8300544K), [Metaspace: 55673K->55673K(1099776K)], 0.4192577 secs] [Times: user=2.91 sys=0.00, real=0.42 secs] 
28.053: [GC (Allocation Failure) [PSYoungGen: 2665984K->65017K(2731008K)] 2798674K->348869K(8323584K), 0.0728534 secs] [Times: user=0.55 sys=0.08, real=0.07 secs] 
47.134: [GC (Allocation Failure) [PSYoungGen: 2731001K->65017K(2490368K)] 3014853K->501749K(8082944K), 0.0724943 secs] [Times: user=0.56 sys=0.06, real=0.07 secs] 
64.167: [GC (Allocation Failure) [PSYoungGen: 2490361K->185321K(2610688K)] 2927093K->630662K(8203264K), 0.0652709 secs] [Times: user=0.48 sys=0.01, real=0.07 secs] 
80.437: [GC (Allocation Failure) [PSYoungGen: 2610665K->185336K(2408960K)] 3056006K->748962K(8001536K), 0.0921625 secs] [Times: user=0.67 sys=0.08, real=0.09 secs] 
96.613: [GC (Allocation Failure) [PSYoungGen: 2408952K->286184K(2509824K)] 2972578K->866645K(8102400K), 0.0965745 secs] [Times: user=0.75 sys=0.00, real=0.10 secs] 
111.974: [GC (Allocation Failure) [PSYoungGen: 2509800K->286199K(2252800K)] 3090261K->965368K(7845376K), 0.1112832 secs] [Times: user=0.80 sys=0.06, real=0.11 secs] 
125.901: [GC (Allocation Failure) [PSYoungGen: 2252791K->279616K(2246656K)] 2931960K->1055694K(7839232K), 0.1005643 secs] [Times: user=0.73 sys=0.02, real=0.10 secs] 
139.264: [GC (Allocation Failure) [PSYoungGen: 2246208K->373952K(2260480K)] 3022286K->1150038K(7853056K), 0.1079181 secs] [Times: user=0.88 sys=0.00, real=0.11 secs] 
152.047: [GC (GCLocker Initiated GC) [PSYoungGen: 2199232K->440247K(2265600K)] 2975387K->1216402K(7858176K), 0.1208576 secs] [Times: user=0.89 sys=0.00, real=0.12 secs] 
165.336: [GC (Allocation Failure) [PSYoungGen: 2265527K->484688K(2092544K)] 3041684K->1260852K(7685120K), 0.1506766 secs] [Times: user=1.25 sys=0.00, real=0.15 secs] 
178.105: [GC (Allocation Failure) [PSYoungGen: 2046800K->520241K(2082816K)] 2822964K->1296405K(7675392K), 0.1322654 secs] [Times: user=1.00 sys=0.00, real=0.13 secs] 
193.892: [GC (Allocation Failure) [PSYoungGen: 2082353K->554881K(1982976K)] 2858517K->1331045K(7575552K), 0.1487422 secs] [Times: user=1.14 sys=0.00, real=0.15 secs] 
207.261: [GC (Allocation Failure) [PSYoungGen: 1854849K->568385K(1868800K)] 2631013K->1344557K(7461376K), 0.1410457 secs] [Times: user=1.13 sys=0.00, real=0.14 secs] 
220.610: [GC (Allocation Failure) [PSYoungGen: 1868353K->579504K(1898496K)] 2644525K->1355677K(7491072K), 0.1543635 secs] [Times: user=1.25 sys=0.00, real=0.15 secs] 
231.199: [GC (GCLocker Initiated GC) [PSYoungGen: 1674672K->589500K(1684992K)] 2450845K->1365681K(7277568K), 0.1483135 secs] [Times: user=1.13 sys=0.00, real=0.15 secs] 
